от,до,длина_прямая_км,раздел,№,тип,длина_км,компонента,терминалов,терминалы
GKS_7,GKS_8,3.769,mst,,,,,,
GKS_11,GKS_12,3.778,mst,,,,,,
GKS_3,GKS_4,3.794,mst,,,,,,
GKS_4,GKS_5,3.826,mst,,,,,,
GKS_9,GKS_10,4.146,mst,,,,,,
GKS_1,GKS_2,4.148,mst,,,,,,
GKS_5,GKS_6,4.158,mst,,,,,,
GKS_1,GKS_7,5.206,mst,,,,,,
GKS_10,GKS_11,6.521,mst,,,,,,
GKS_6,GKS_11,6.646,mst,,,,,,
GKS_2,GKS_9,8.315,mst,,,,,,
"37.17633, 56.04062","37.16237, 56.04981",,сегменты,1.0,link,1.341,,,
"37.16237, 56.04981","37.14084, 56.06399",,сегменты,2.0,link,2.067,,,
GKS_1,"37.14213, 56.04960",,сегменты,3.0,connector,1.0,,,
"37.17633, 56.04062","37.19365, 56.04192",,сегменты,4.0,link,1.086,,,
"37.19369, 56.04193","37.35699, 56.05422",,сегменты,5.0,link,10.233,,,
"37.35699, 56.05422","37.37432, 56.05553",,сегменты,6.0,link,1.085,,,
GKS_2,"37.22549, 56.04241",,сегменты,7.0,connector,1.0,,,
GKS_3,"37.19168, 55.94871",,сегменты,8.0,connector,1.897,,,
"37.19168, 55.94871","37.20545, 55.94871",,сегменты,9.0,link,0.857,,,
"37.20545, 55.94871","37.27548, 55.95649",,сегменты,10.0,link,4.445,,,
"37.27548, 55.95649","37.29963, 55.94872",,сегменты,11.0,link,1.734,,,
"37.29963, 55.94872","37.31695, 55.94872",,сегменты,12.0,link,1.079,,,
GKS_4,"37.25285, 55.94905",,сегменты,13.0,connector,1.913,,,
GKS_5,"37.29958, 55.94872",,сегменты,14.0,connector,0.997,,,
"37.31695, 55.94872","37.34012, 55.95733",,сегменты,15.0,link,1.731,,,
"37.34012, 55.95733","37.38184, 55.97284",,сегменты,16.0,link,3.117,,,
GKS_6,"37.35982, 55.95598",,сегменты,17.0,connector,1.0,,,
"37.16910, 56.08805","37.15942, 56.07981",,сегменты,18.0,link,1.096,,,
"37.15942, 56.07981","37.14084, 56.06399",,сегменты,19.0,link,2.103,,,
GKS_7,"37.13955, 56.07839",,сегменты,20.0,connector,1.0,,,
GKS_8,"37.16910, 56.08805",,сегменты,21.0,connector,1.885,,,
GKS_9,"37.32514, 56.05374",,сегменты,22.0,connector,1.0,,,
"37.37432, 56.05553","37.38511, 56.04680",,сегменты,23.0,link,1.179,,,
"37.38511, 56.04680","37.41055, 56.02624",,сегменты,24.0,link,2.779,,,
GKS_10,"37.40858, 56.04654",,сегменты,25.0,connector,1.0,,,
GKS_11,"37.42807, 55.99984",,сегменты,26.0,connector,0.968,,,
"37.41251, 56.00594","37.41055, 56.02624",,сегменты,27.0,link,2.261,,,
"37.40389, 55.98971","37.38184, 55.97284",,сегменты,28.0,link,2.323,,,
GKS_12,"37.44374, 55.99765",,сегменты,29.0,connector,1.889,,,
"37.14213, 56.04960","37.16237, 56.04981",,сегменты,30.0,link,1.257,,,
"37.22549, 56.04241","37.19365, 56.04192",,сегменты,31.0,link,1.978,,,
"37.25285, 55.94905","37.20545, 55.94879",,сегменты,32.0,link,2.951,,,
"37.29963, 55.94872","37.26727, 55.94898",,сегменты,33.0,link,2.015,,,
"37.35982, 55.95598","37.34012, 55.95733",,сегменты,34.0,link,1.235,,,
"37.13955, 56.07839","37.15942, 56.07981",,сегменты,35.0,link,1.243,,,
"37.32514, 56.05374","37.35699, 56.05423",,сегменты,36.0,link,1.978,,,
"37.40858, 56.04654","37.38511, 56.04680",,сегменты,37.0,link,1.458,,,
"37.35699, 56.05422","37.22549, 56.04241",,сегменты,38.0,link,8.271,,,
"37.37432, 56.05553","37.35699, 56.05422",,сегменты,39.0,link,1.085,,,
"37.38511, 56.04680","37.37432, 56.05553",,сегменты,40.0,link,1.179,,,
"37.41055, 56.02624","37.38511, 56.04680",,сегменты,41.0,link,2.779,,,
"37.41251, 56.00594","37.41055, 56.02624",,сегменты,42.0,link,2.261,,,
"37.40858, 56.04654","37.38511, 56.04680",,сегменты,43.0,link,1.458,,,
"37.19168, 55.94871","37.17633, 56.04062",,сегменты,44.0,link,10.264,,,
"37.20545, 55.94871","37.19168, 55.94871",,сегменты,45.0,link,0.857,,,
"37.27548, 55.95649","37.20545, 55.94871",,сегменты,46.0,link,4.445,,,
"37.29963, 55.94872","37.27548, 55.95649",,сегменты,47.0,link,1.734,,,
"37.31695, 55.94872","37.29963, 55.94872",,сегменты,48.0,link,1.079,,,
"37.34012, 55.95733","37.31695, 55.94872",,сегменты,49.0,link,1.731,,,
"37.38184, 55.97284","37.34012, 55.95733",,сегменты,50.0,link,3.117,,,
"37.40389, 55.98971","37.41251, 56.00594",,сегменты,51.0,link,1.884,,,
"37.26727, 55.94898","37.27548, 55.95649",,сегменты,52.0,link,0.979,,,
"37.35982, 55.95598","37.34012, 55.95733",,сегменты,53.0,link,1.235,,,
"37.25285, 55.94905","37.26727, 55.94898",,сегменты,54.0,link,0.898,,,
"37.32514, 56.05374","37.35699, 56.05422",,сегменты,55.0,link,1.978,,,
,,,компоненты,,,,1.0,10.0,"GKS_1, GKS_10, GKS_2, GKS_3, GKS_4, GKS_5, GKS_6, GKS_7, GKS_8, GKS_9"
,,,компоненты,,,,2.0,1.0,GKS_11
,,,компоненты,,,,3.0,1.0,GKS_12
